country	pm_id	lr	url	comment
FR	FI	LLF	https://en.wikipedia.org/wiki/La_France_Insoumise	-
FR	LR	CR	https://en.wikipedia.org/wiki/The_Republicans_(France)	-
FR	LAREM	C	https://en.wikipedia.org/wiki/La_R%C3%A9publique_En_Marche!	-
FR	MODEM	CCR	https://en.wikipedia.org/wiki/Democratic_Movement_(France)	-
FR	RN	FR	https://en.wikipedia.org/wiki/National_Rally	This used to be National Front Party (FN) until 2018 when it was renamed to National Rally (RN)
FR	AGIR-E	-	https://en.wikipedia.org/wiki/Agir_ensemble	-
FR	EDS	L	https://en.wikipedia.org/wiki/Ecology_Democracy_Solidarity	-
FR	GDR	L	https://en.wikipedia.org/wiki/Democratic_and_Republican_Left_group	-
FR	LC	CR	https://fr.wikipedia.org/wiki/Groupe_UDI_et_indépendants	This group is now known as Groupe UDI ed Independants and was known as Groupe Les Constructifs: republicains, UDI, independants in 2017.
FR	LT	BT	https://fr.wikipedia.org/wiki/Groupe_Libertés,_indépendants,_outre-mer_et_territoires	-
FR	NG	L	https://en.wikipedia.org/wiki/New_Left_in_France	-
FR	NI	-	https://en.wikipedia.org/wiki/Non-Inscrits	The deputies who are not members or related to any parliamentary group of the National Assembly of France
FR	SOC	CLL	https://fr.wikipedia.org/wiki/Groupe_socialiste_(Assembl%C3%A9e_nationale)	-
FR	UDI-A-I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI-AGIR	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI-I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	UDI_I	R	https://en.wikipedia.org/wiki/UDI_and_Independents_group	-
FR	DEM	CCR	https://fr.wikipedia.org/wiki/Groupe_démocrate,_MoDem_et_indépendants	-
FR	ECOLO	L	https://en.wikipedia.org/wiki/New_Ecological_and_Social_People's_Union	-
FR	GDR-NUPES	L	https://en.wikipedia.org/wiki/Democratic_and_Republican_Left_group https://en.wikipedia.org/wiki/New_Ecological_and_Social_People's_Union	-
FR	HOR	CR	https://en.wikipedia.org/wiki/Horizons_(political_party)	-
FR	LFI-NUPES	L	https://en.wikipedia.org/wiki/La_France_Insoumise https://fr.wikipedia.org/wiki/Nouvelle_Union_populaire_écologique_et_sociale	-
FR	LIOT	BT	https://en.wikipedia.org/wiki/Liberties,_Independents,_Overseas_and_Territories	-
FR	RE	C	https://en.wikipedia.org/wiki/Renaissance_(French_political_party)	-
